strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/SouthAfrica/CERI-KRISP-K039817/2022	betacoronavirus	EPI_ISL_12097393	?	2022-04-07	Africa	South Africa	KwaZulu Natal	eThekwini	Africa	South Africa	KwaZulu Natal	genome	29783	Human	23	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nokukhanya Mdlalose, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Austria/LB-R00070-S239/2022	betacoronavirus	EPI_ISL_12099407	?	2022-04-13	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29358	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/USA/TX-HMH-96609/2022	betacoronavirus	EPI_ISL_12109331	?	2022-04-12	North America	USA	Texas	Houston County	North America	USA	Texas	genome	29800	Human	unknown	unknown	?	BA.4	GRA	Houston Methodist Hospital	Houston Methodist Hospital	Paul A. Christensen, Randall J. Olsen, S. Wesley Long, Richard Snehal, Sinjini Gupta, Yuvanesh Vedaraju, James J. Davis, Matthew Ojeda Saavedra, Kristina Reppond, Madison N. Shyer, Jessica Cambric, Ryan Gadd, Rashi M. Thakur, Akanksha Batajoo, Regan Mangham, Sindy Pena, Nicole Kanellopoulos, Jordan Pachuca, Robert Olson, Jimmy Gollihar, James M. Musser	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/USA/NH-CDC-ASC210723730/2022	betacoronavirus	EPI_ISL_12116582	?	2022-04-05	North America	USA	New Hampshire		North America	USA	New Hampshire	genome	29709	Human	56	Female	?	BA.4	GRA	Aegis Sciences Corporation	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Erisa Sula, Cyndi Clark, Patrick Campbell, Rob Case, Vikramsinha Ghorpade, Holly Houdeshell, Ola Kvalvaag, Dillon Nall, Ethan Sanders, Alec Vest, Shaun Westlund, Matthew Hardison, Clinton Paden, Duncan MacCannell	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Botswana/R111B69_BHP_AAC81541/2022	betacoronavirus	EPI_ISL_12119232	?	2022-04-12	Africa	Botswana	Gaborone	Gaborone	Africa	Botswana	Gaborone	genome	29760	Human	11	Male	?	BA.4	GRA	Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo, Wonderful T. Choga, Dorcas Maruapula, Sefetogi Ramaologa, Thongbotho Mphoyakgosi, Boitumelo Zuze, Legodile Kooepile, Ontlametse T. Bareng, Pamela Smith-Lawrence, Kgomotso Moruisi, Shirley Johane, Roger Shapiro, Shahin Lockman, Joseph Makhema, Mphaphi B. Mbulawa, Mosepele Mosepele, Simani Gaseitsiwe	https://www.gisaid.org/	?	?	2022-04-19	?
hCoV-19/Scotland/QEUH-3D54702/2022	betacoronavirus	EPI_ISL_12122771	?	2022-04-11	Europe	United Kingdom	Scotland		Europe	United Kingdom	Scotland	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse, Yumi Kasai, David Gray, Carol Clugston, Anna Dominiczak and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-19	?
hCoV-19/Scotland/QEUH-3D46035/2022	betacoronavirus	EPI_ISL_12123784	?	2022-04-11	Europe	United Kingdom	Scotland		Europe	United Kingdom	Scotland	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse, Yumi Kasai, David Gray, Carol Clugston, Anna Dominiczak and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-19	?
hCoV-19/Switzerland/FR-ETHZ-37081752/2022	betacoronavirus	EPI_ISL_12130073	?	2022-04-04	Europe	Switzerland	Freiburg		Europe	Switzerland	Freiburg	genome	29768	Human	unknown	unknown	?	BA.4	GRA	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel, Sarah Nadeau, Chaoran Chen, Louis du Plessis, Ivan Topolsky, Kim Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Pelin Icer, Tobias Schär, Ina Nissen, Natascha Santacroce, Rebecca Denes, Mirjam Feldkamp, Elodie Burcklen, Christiane Beckmann, Matteo Carrara, Shuqing Yu, Franziska Singer, Andrea Patrizia Salzmann, Sebastian Kurscheid, Henriette Kurth, Maurice Redondo, Olivier Kobel, Christoph Noppen, Niko Beerenwinkel, Tanja Stadler	https://www.gisaid.org/	?	?	2022-04-19	?
hCoV-19/Denmark/DCGC-480561/2022	betacoronavirus	EPI_ISL_12139399	?	2022-04-09	Europe	Denmark	Midtjylland		Europe	Denmark	Midtjylland	genome	29740	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-19	?
hCoV-19/USA/CA-CDC-QDX35420453/2022	betacoronavirus	EPI_ISL_12149337	?	2022-03-30	North America	USA	California		North America	USA	California	genome	29694	Human	26	Male	?	BA.4	GRA	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Erisa Sula, S. Rosenthal, A. Gerasimova, R. Kagan, B. Anderson, M. Hua, Y. Liu, L. Bernstein, K. Livingston, A. Perez, I. Shlyakhter, R. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton Paden, Duncan MacCannell	https://www.gisaid.org/	?	?	2022-04-19	?
hCoV-19/Wales/LSPA-3D51AEE/2022	betacoronavirus	EPI_ISL_12152675	?	2022-04-11	Europe	United Kingdom	Wales		Europe	United Kingdom	Wales	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-20	?
hCoV-19/USA/NH-CDC-LC0575371/2022	betacoronavirus	EPI_ISL_12169006	?	2022-04-07	North America	USA	New Hampshire		North America	USA	New Hampshire	genome	29740	Human	52	Female	?	BA.4	GRA	Laboratory Corporation of America	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Lisa Pfefferle, Manoj Jain, Matthew Robinson, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton Paden, Duncan MacCannell	https://www.gisaid.org/	?	?	2022-04-20	?
hCoV-19/USA/DC-CDC-LC0575365/2022	betacoronavirus	EPI_ISL_12169353	?	2022-04-08	North America	USA	District of Columbia		North America	USA	District of Columbia	genome	29712	Human	41	Male	?	BA.4	GRA	Laboratory Corporation of America	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Lisa Pfefferle, Manoj Jain, Matthew Robinson, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton Paden, Duncan MacCannell	https://www.gisaid.org/	?	?	2022-04-20	?
hCoV-19/Belgium/Jessa_55-2215-000140/2022	betacoronavirus	EPI_ISL_12179199	?	2022-04-12	Europe	Belgium	Limburg		Europe	Belgium	Limburg	genome	29758	Human	73	Male	?	BA.4	GRA	Jessa	Jessa	Laura Vanstraelen et al. on behalf of the Jessa_cmdLab	https://www.gisaid.org/	?	?	2022-04-21	?
hCoV-19/SouthAfrica/1069243/2022	betacoronavirus	EPI_ISL_12180585	?	2022-03-28	Africa	South Africa	North West		Africa	South Africa	North West	genome	29731	Human	35	Male	?	BA.4	GRA	Ndlovu Laboratories	Ndlovu Laboratories	A. Mabaso, A. Mdunyelwa, K. Mlambo, M. Mathapelo, C. Umunnakwe, H. Mtshali	https://www.gisaid.org/	?	?	2022-04-11	?
hCoV-19/SouthAfrica/1070479/2022	betacoronavirus	EPI_ISL_12180587	?	2022-03-25	Africa	South Africa	Limpopo		Africa	South Africa	Limpopo	genome	29675	Human	29	Female	?	BA.4	GRA	Ndlovu Laboratories	Ndlovu Laboratories	A. Mabaso, A. Mdunyelwa, K. Mlambo, M. Mathapelo, C. Umunnakwe, H. Mtshali	https://www.gisaid.org/	?	?	2022-04-11	?
hCoV-19/SouthAfrica/1068246/2022	betacoronavirus	EPI_ISL_12180593	?	2022-03-18	Africa	South Africa	Limpopo		Africa	South Africa	Limpopo	genome	29675	Human	8	Female	?	BA.4	GRA	Ndlovu Laboratories	Ndlovu Laboratories	A. Mabaso, A. Mdunyelwa, K. Mlambo, M. Mathapelo, C. Umunnakwe, H. Mtshali	https://www.gisaid.org/	?	?	2022-04-11	?
hCoV-19/Australia/NSW-SAVID-11108/2022	betacoronavirus	EPI_ISL_12206542	?	2022-03-31	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29637	Human	35	unknown	?	BA.4	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Belgium/ULB-IBC_CV8450883611/2022	betacoronavirus	EPI_ISL_12208047	?	2022-04-12	Europe	Belgium	Region Bruxelles-Capitale	Forest	Europe	Belgium	Region Bruxelles-Capitale	genome	29637	Human	52	Male	?	BA.4	GRA	National Platform bis COVID ULB-IBC	National Platform bis COVID ULB-IBC	Ricardo De Mendonça, Marie-Luce Delforge, Arnaud Marchant, Coralie Henin, Benoit Haerlingen	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Belgium/ULB-IBC_CV8376355881/2022	betacoronavirus	EPI_ISL_12208064	?	2022-04-14	Europe	Belgium	Region Bruxelles-Capitale	Schaerbeek	Europe	Belgium	Region Bruxelles-Capitale	genome	29637	Human	26	Female	?	BA.4	GRA	National Platform bis COVID ULB-IBC	National Platform bis COVID ULB-IBC	Ricardo De Mendonça, Marie-Luce Delforge, Arnaud Marchant, Coralie Henin, Benoit Haerlingen	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/England/LSPA-3D74E8F/2022	betacoronavirus	EPI_ISL_12211242	?	2022-04-14	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/SouthAfrica/NICD-N37734/2022	betacoronavirus	EPI_ISL_12212563	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29644	Human	13	Female	?	BA.4	GRA	Helen Joseph Laboratory	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/SouthAfrica/NICD-N37741/2022	betacoronavirus	EPI_ISL_12212566	?	2022-03-16	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	12	Male	?	BA.4	GRA	Helen Joseph Laboratory	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/SouthAfrica/NICD-N38157/2022	betacoronavirus	EPI_ISL_12212569	?	2022-03-23	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	25	Male	?	BA.4	GRA	Helen Joseph Laboratory	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/SouthAfrica/NICD-N38159/2022	betacoronavirus	EPI_ISL_12212571	?	2022-03-24	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29414	Human	37	Female	?	BA.4	GRA	Helen Joseph Laboratory	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/USA/MA-Broad-CRSP_2WVHHWPUGSXBZ7JT/2022	betacoronavirus	EPI_ISL_12217097	?	2022-04-04	North America	USA	Massachusetts		North America	USA	Massachusetts	genome	29789	Human	unknown	unknown	?	BA.4	GRA	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle, K.J., Adams, G., Pearlman, L., Gladden-Young, A., Vicente, G., Blumenstiel, B., DeFelice, M., Lee, M., McGovern, S., Lagerborg, K., Rudy, M., DeRuff, K., Carter, A., Normandin, E., Bauer, M., Reilly, S., Tomkins-Tinch, C., Loreth, C., Chaluvadi, S., Meldrim, J., Granger, B., Lemieux, J.E., Birren, B.W., Sabeti, P.C., Larkin, K., Dodge, S., Lennon, N., Madoff, L., Brown, C., Gallagher, G., Smole, S., Park, D.J., Gabriel, S., and MacInnis, B.L.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/SouthAfrica/NHLS-UCT-GS-BH84/2022	betacoronavirus	EPI_ISL_12221587	?	2022-03-28	Africa	South Africa	Western Cape		Africa	South Africa	Western Cape	genome	29679	Human	28	Male	?	BA.4	GRA	Sedgefield Clinic wc SGE	NHLS/UCT	Arash Iranzadeh, Innocent Mudau, Marvin Hsiao, Gert Marais, Diana Hardie, Stephen Korsman, Rageema Joseph, Luicer Olubayo, Nokuzola Mbhele, Carolyn Williamson	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/England/PHEP-YYR3JSU/2022	betacoronavirus	EPI_ISL_12223371	?	2022-04-06	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	COVID-19 Genomics UK (COG-UK) Consortium	PHE Covid Sequencing Team	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Belgium/MBLG-CTMAPF33795443/2022	betacoronavirus	EPI_ISL_12226685	?	2022-04-10	Europe	Belgium	Brussels		Europe	Belgium	Brussels	genome	29830	Human	16	Male	?	BA.4	GRA	Cliniques universitaires Saint-Luc	UCLouvain/IREC/MBLG-CTMA	Bertrand Bearzatto, Benoit Kabamba Mukadi, Valentin Coste, Jean-Luc Gala	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Belgium/MBLG-CTMAPF33865060/2022	betacoronavirus	EPI_ISL_12226709	?	2022-04-11	Europe	Belgium	Brussels		Europe	Belgium	Brussels	genome	29823	Human	30	Female	?	BA.4	GRA	Cliniques universitaires Saint-Luc	UCLouvain/IREC/MBLG-CTMA	Bertrand Bearzatto, Benoit Kabamba Mukadi, Valentin Coste, Jean-Luc Gala	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/England/LSPA-3D864F1/2022	betacoronavirus	EPI_ISL_12241466	?	2022-04-17	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-24	?
hCoV-19/Denmark/DCGC-493058/2022	betacoronavirus	EPI_ISL_12248508	?	2022-04-11	Europe	Denmark	Hovedstaden		Europe	Denmark	Hovedstaden	genome	29749	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-25	?
hCoV-19/Netherlands/UT-UMCU-1511244/2022	betacoronavirus	EPI_ISL_12252797	?	2022-04-15	Europe	Netherlands	Utrecht	Utrecht	Europe	Netherlands	Utrecht	genome	29732	Human	41	unknown	?	BA.4	GRA	UMC Utrecht	UMC Utrecht	Joris Schoonderwoerd, Anne Wensing, Rob Schuurman	https://www.gisaid.org/	?	?	2022-04-25	?
hCoV-19/Belgium/UMONS-J779941401/2022	betacoronavirus	EPI_ISL_12252953	?	2022-04-09	Europe	Belgium	Hainaut		Europe	Belgium	Hainaut	genome	29740	Human	60	Male	?	BA.4	GRA	National Platform bis UMONS / Jolimont	National Platform bis UMONS / Jolimont	Florian Juszczak, Laetitia Gheysen, Clothilde Claus, Caroline Debecker, Eric Tarantino, Gautier Detry, Ruddy Wattiez	https://www.gisaid.org/	?	?	2022-04-25	?
hCoV-19/USA/NY-PRL-2022_0418_00G18/2022	betacoronavirus	EPI_ISL_12256369	?	2022-04-14	North America	USA	New York	New York City	North America	USA	New York	genome	29762	Human	38	Female	?	BA.4	GRA	Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Isabel Fernandez Escapa, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, William Ward, Steven Chase, Simran Chhabria, Sol Rey, Alex Carpio, Simran Gupta, Tiara Rivera, Haiping Hao, Jon Laurent	https://www.gisaid.org/	?	?	2022-04-25	?
hCoV-19/USA/OH-CDC-QDX35734912/2022	betacoronavirus	EPI_ISL_12264646	?	2022-04-07	North America	USA	Ohio		North America	USA	Ohio	genome	29709	Human	60	Male	?	BA.4	GRA	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Erisa Sula, S. Rosenthal, A. Gerasimova, R. Kagan, B. Anderson, M. Hua, Y. Liu, L. Bernstein, K. Livingston, A. Perez, I. Shlyakhter, R. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton Paden, Duncan MacCannell	https://www.gisaid.org/	?	?	2022-04-25	?
